City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vaini,79,IN,1573960630,73,15.34,74.49,73.4,3.36
Rehoboth,100,NA,1573960631,35,-23.31,17.08,67.1,1.14
General Bravo,75,MX,1573960631,71,25.79,-99.18,62.65,10.18
Talnakh,0,RU,1573960632,70,69.49,88.39,-4.0,11.18
Cocal,0,BR,1573960634,79,-3.47,-41.56,74.16,6.49
Port Elizabeth,90,US,1573960635,34,39.31,-74.98,46.0,12.75
General Pico,0,AR,1573960636,70,-35.66,-63.75,71.69,8.43
Aitape,100,PG,1573960637,74,-3.15,142.36,82.74,1.1
Tiznit,0,MA,1573960638,39,29.7,-9.73,51.04,11.03
Shizunai,100,JP,1573960639,74,42.33,142.37,26.6,18.9
Hambantota,20,LK,1573960640,94,6.12,81.12,78.8,3.36
Isangel,75,VU,1573960641,54,-19.55,169.27,84.2,11.41
Camabatela,100,AO,1573960642,98,-8.19,15.37,64.0,2.42
Manaure,71,CO,1573960643,79,11.78,-72.45,81.43,13.76
Katsuura,75,JP,1573960644,55,33.93,134.5,66.0,5.82
Bone,100,DE,1573960645,86,51.97,12.14,35.01,5.82
Broome,88,GB,1573960646,81,52.47,1.45,43.0,8.05
Shubarkuduk,0,KZ,1573960647,84,49.15,56.49,29.55,5.73
Boueni,20,YT,1573960649,83,-12.9,45.08,82.4,8.05
Punta Arenas,100,CL,1573960411,70,-53.16,-70.91,46.4,29.97
Matamoros,1,US,1573960651,82,25.87,-97.51,63.0,4.74
Malatya,0,TR,1573960652,92,38.35,38.32,28.4,5.82
Longyearbyen,75,NO,1573960653,92,78.22,15.63,30.2,2.24
Agadez,44,NE,1573960654,14,16.97,7.99,78.17,5.77
Sault Sainte Marie,75,CA,1573960655,68,46.49,-84.36,30.2,8.05
Constitucion,75,MX,1573960656,72,23.99,-104.67,59.0,4.7
Fuerte Olimpo,92,BR,1573960657,37,-21.04,-57.87,70.66,3.15
Saint George,20,GR,1573960658,93,39.45,22.34,53.6,5.82
Puerto Narino,75,CO,1573960660,100,-3.77,-70.38,77.0,1.25
Auki,63,NG,1573960661,22,12.18,6.51,76.17,5.17
Nerchinsk,100,RU,1573960662,89,51.98,116.59,-0.92,6.26
Zeya,0,RU,1573960663,73,53.74,127.27,2.95,0.92
Kapuskasing,75,CA,1573960664,85,49.42,-82.43,21.2,13.87
Kaitangata,97,NZ,1573960665,74,-46.28,169.85,53.01,13.0
Suleja,100,NG,1573960666,55,9.18,7.18,75.54,1.41
Mountain Home,1,US,1573960667,56,43.13,-115.69,43.0,8.57
Quatre Cocos,40,MU,1573960668,83,-20.21,57.76,78.01,14.99
Mutoko,100,ZW,1573960669,84,-17.4,32.23,68.41,3.4
Kavieng,100,PG,1573960670,75,-2.57,150.8,81.68,8.12
Ahipara,9,NZ,1573960671,96,-35.17,173.16,68.0,17.07
Codrington,38,AU,1573960672,31,-28.95,153.24,91.4,5.82
Slawno,79,PL,1573960673,100,52.84,16.56,42.01,3.36
Torbay,40,CA,1573960674,58,47.66,-52.73,30.99,34.45
Fairbanks,75,US,1573960502,77,64.84,-147.72,7.0,4.7
Norman Wells,90,CA,1573960676,76,65.28,-126.83,-5.8,3.36
Griffith,67,AU,1573960678,26,-34.29,146.06,72.0,13.87
Tuktoyaktuk,40,CA,1573960679,83,69.44,-133.03,-11.2,5.82
Samoylovka,37,RU,1573960680,96,51.19,43.71,28.71,5.75
Chippewa Falls,1,US,1573960501,59,44.94,-91.39,37.0,6.93
Barra da Estiva,99,BR,1573960682,86,-13.63,-41.33,68.07,2.1
Chakwal,33,PK,1573960683,82,32.93,72.86,55.4,11.41
Qasigiannguit,0,GL,1573960684,44,68.82,-51.19,19.4,20.8
Atuona,1,PF,1573960685,73,-9.8,-139.03,79.83,12.66
Maniitsoq,83,GL,1573960686,50,65.42,-52.9,25.14,15.19
Puerto Escondido,75,MX,1573960687,74,15.86,-97.07,82.4,3.47
Tiksi,98,RU,1573960688,97,71.64,128.87,-3.62,4.61
Kars,0,TR,1573960689,92,40.61,43.1,28.4,1.32
La Rioja,92,AR,1573960690,53,-29.41,-66.86,72.73,7.9
Gat,100,SN,1573960691,78,14.69,-16.54,75.2,8.05
Nioro,97,GM,1573960692,30,13.79,-15.05,79.57,6.15
Rosario,0,UY,1573960435,89,-34.31,-57.35,61.0,15.43
Qaqortoq,100,GL,1573960694,40,60.72,-46.03,37.4,42.5
Inhambane,30,MZ,1573960696,88,-23.87,35.38,70.97,10.47
Georgetown,40,GY,1573960697,100,6.8,-58.16,75.2,4.7
Faya,63,SA,1573960698,76,18.39,42.45,53.6,3.15
Hasaki,40,JP,1573960699,42,35.73,140.83,66.0,16.11
Caravelas,100,BR,1573960700,89,-17.73,-39.27,73.45,4.92
Jalu,99,LY,1573960701,59,29.03,21.55,60.51,10.47
Aljezur,73,PT,1573960702,74,37.31,-8.8,52.0,17.96
Cabo San Lucas,75,MX,1573960703,78,22.89,-109.91,78.01,5.82
Chokurdakh,99,RU,1573960704,98,70.62,147.9,-2.85,5.26
Vung Tau,81,VN,1573960488,66,10.35,107.08,83.88,3.69
Esperance,0,AU,1573960707,9,-33.86,121.89,107.6,12.75
Puerto Leguizamo,100,CO,1573960708,97,-0.19,-74.78,73.24,2.46
Popondetta,100,PG,1573960709,87,-8.77,148.24,72.91,3.76
Coquimbo,48,CL,1573960710,93,-29.95,-71.34,57.2,3.36
Yeppoon,0,AU,1573960711,28,-23.13,150.74,96.8,10.29
Marovoay,40,MG,1573960712,78,-16.11,46.64,82.4,5.82
Lompoc,1,US,1573960713,93,34.64,-120.46,69.01,4.7
Provideniya,100,RU,1573960714,88,64.42,-173.23,17.53,9.98
Batemans Bay,73,AU,1573960715,59,-35.71,150.18,69.01,5.99
Butaritari,80,KI,1573960716,73,3.07,172.79,83.66,11.41
Cabo Rojo,0,PR,1573960717,80,18.09,-67.15,78.01,3.83
Ajdabiya,100,LY,1573960718,52,30.75,20.22,63.3,14.25
Saskylakh,100,RU,1573960719,97,71.97,114.09,-6.93,6.67
Blagoyevo,90,RU,1573960720,96,63.37,47.92,21.09,5.08
Xining,100,CN,1573960721,58,36.62,101.77,23.92,15.14
Plettenberg Bay,100,ZA,1573960722,86,-34.05,23.37,58.77,7.16
Singleton,40,AU,1573960723,60,-32.57,151.17,82.99,18.34
Victoria,75,BN,1573960444,74,5.28,115.24,87.8,2.24
Rio Verde de Mato Grosso,72,BR,1573960725,44,-18.92,-54.84,74.55,3.27
Geraldton,90,CA,1573960727,85,49.72,-86.95,32.0,17.22
Yar-Sale,100,RU,1573960727,100,66.83,70.83,-10.61,15.46
Lindsay,1,CA,1573960728,48,44.36,-78.74,21.0,11.41
Sarangani,0,PH,1573960729,69,5.4,125.46,84.0,15.35
Hithadhoo,97,MV,1573960731,78,-0.6,73.08,82.02,16.08
Inuvik,20,CA,1573960732,75,68.36,-133.71,-18.4,2.24
Hamilton,20,CA,1573960510,62,43.26,-79.87,30.99,16.11
Haifa,0,IL,1573960734,60,32.82,35.0,61.0,15.52
Bayonet Point,90,US,1573960735,87,28.33,-82.68,55.0,4.7
Saldanha,100,PT,1573960736,90,41.42,-6.55,37.15,5.46
Klaksvik,0,FO,1573960737,65,62.23,-6.59,35.6,1.12
Khandbari,0,NP,1573960738,54,27.38,87.21,55.4,3.62
Bugulma,100,RU,1573960739,80,54.54,52.8,29.28,15.86
Gold Coast,90,AU,1573960741,69,-28.0,153.41,96.01,11.41
East London,93,ZA,1573960742,93,-33.02,27.91,62.6,5.82
Annau,40,TM,1573960743,100,37.89,58.52,35.6,2.24
Palekh,95,RU,1573960744,94,56.8,41.85,35.02,6.17
Tiberias,0,IL,1573960745,60,32.79,35.53,61.0,12.37
Newtownards,100,GB,1573960746,93,54.59,-5.69,41.0,2.24
Puerto del Rosario,14,ES,1573960747,68,28.5,-13.86,64.4,21.92
Penha,40,BR,1573960748,73,-26.78,-48.65,69.8,6.93
Massaguet,0,TD,1573960749,43,12.48,15.44,69.8,5.82
Campina Verde,27,BR,1573960750,59,-19.54,-49.49,72.1,1.34
Lodja,100,CD,1573960751,99,-3.52,23.6,69.46,2.19
Bull Savanna,60,JM,1573960752,94,17.89,-77.59,69.94,2.19
Taoudenni,62,ML,1573960753,33,22.68,-3.98,61.02,6.58
Bathsheba,20,BB,1573960755,94,13.22,-59.52,73.4,5.82
Zavallya,88,UA,1573960756,87,48.21,30.02,43.09,7.58
Mahibadhoo,25,MV,1573960757,77,3.78,72.97,81.99,13.78
Sidi Ali,0,DZ,1573960758,84,36.1,0.42,47.73,6.87
Piacabucu,15,BR,1573960759,80,-10.41,-36.43,77.5,13.2
Sabang,94,PH,1573960760,72,13.8,121.11,88.0,4.0
Cidreira,0,BR,1573960761,67,-30.17,-50.22,67.37,8.57
Peristera,75,GR,1573960762,100,39.64,21.65,50.0,3.69
Nanortalik,100,GL,1573960763,84,60.14,-45.24,32.25,37.29
Tual,36,ID,1573960764,70,-5.67,132.75,84.0,6.35
Pisco,90,PE,1573960765,88,-13.71,-76.2,64.4,13.87
Rosita,42,NI,1573960766,99,13.92,-84.4,71.17,2.75
Sturgeon Falls,40,CA,1573960767,66,46.36,-79.93,15.01,5.82
Svetlogorsk,9,RU,1573960768,51,53.14,59.15,35.6,20.13
Ardakan,20,IR,1573960769,69,32.31,54.02,37.4,4.7
Rawlins,40,US,1573960771,86,41.79,-107.24,30.2,6.93
Iquique,21,CL,1573960772,63,-20.22,-70.14,66.2,4.7
Kieta,56,PG,1573960773,67,-6.22,155.63,85.01,4.85
Salalah,40,OM,1573960774,57,17.01,54.1,75.2,4.7
Arraial do Cabo,0,BR,1573960775,83,-22.97,-42.02,71.51,11.21
Ballina,75,IE,1573960776,94,54.11,-9.15,45.0,8.99
Quesnel,90,CA,1573960509,93,52.98,-122.49,39.2,14.99
Sunrise Manor,1,US,1573960778,18,36.21,-115.07,71.6,8.05
Burns Lake,100,CA,1573960779,97,54.23,-125.76,35.83,4.45
Faanui,4,PF,1573960780,82,-16.48,-151.75,79.99,13.4
Vila Franca do Campo,40,PT,1573960781,76,37.72,-25.43,55.4,6.93
Beyneu,0,KZ,1573960782,64,45.32,55.19,31.37,2.42
La Ronge,90,CA,1573960783,92,55.1,-105.3,24.8,6.93
Castro,90,CL,1573960784,93,-42.48,-73.76,53.6,17.22
Sorong,46,ID,1573960785,62,-0.86,131.25,89.35,3.18
Gravdal,91,NO,1573960786,70,59.79,5.78,39.99,3.36
Port Keats,22,AU,1573960787,52,-14.25,129.55,91.15,13.02
Ambon,90,FR,1573960788,100,47.55,-2.56,39.0,3.36
Evensk,76,RU,1573960789,75,61.92,159.24,10.78,13.53
Lavrentiya,52,RU,1573960790,77,65.58,-170.99,22.5,16.33
Chuy,21,UY,1573960791,87,-33.69,-53.46,66.33,3.24
Katobu,0,ID,1573960792,32,-4.94,122.53,96.44,5.17
Seoul,90,KR,1573960556,81,37.57,126.98,48.2,9.17
Berlevag,0,NO,1573960794,79,70.86,29.09,24.8,19.46
Dharchula,0,IN,1573960795,25,29.85,80.53,51.13,6.49
Goderich,84,CA,1573960796,80,43.74,-81.71,24.01,17.0
Tasiilaq,93,GL,1573960797,74,65.61,-37.64,28.4,21.92
America Dourada,100,BR,1573960798,62,-11.46,-41.44,76.78,10.36
Muros,90,ES,1573960799,100,42.77,-9.06,54.0,3.36
Waipawa,100,NZ,1573960800,57,-39.94,176.59,68.0,3.58
Leh,100,IN,1573960801,77,34.16,77.58,14.14,2.86
Ust-Nera,100,RU,1573960802,95,64.57,143.24,-5.69,5.17
Port-Cartier,20,CA,1573960803,73,50.03,-66.88,23.0,10.29
Juruti,100,BR,1573960805,89,-2.16,-56.09,77.49,5.1
Canete,90,IT,1573960806,100,46.33,9.49,45.0,8.05
Rudnyy,80,KZ,1573960807,92,52.96,63.12,14.0,4.47
Bilibino,46,RU,1573960808,57,68.06,166.44,-2.02,2.93
Namibe,8,AO,1573960809,78,-15.19,12.15,70.23,11.54
Yuncheng,99,CN,1573960810,24,35.03,111.0,51.85,27.07
Khani,0,GE,1573960811,44,41.96,42.96,50.0,24.16
Kurayoshi,75,JP,1573960812,52,35.43,133.83,64.4,8.05
Jinxiang,38,CN,1573960813,61,35.07,116.31,57.99,8.28
Neuquen,34,AR,1573960803,28,-38.95,-68.06,69.8,3.36
Kandava,99,LV,1573960815,94,57.04,22.77,46.44,9.04
Kodiak,1,US,1573960816,52,39.95,-94.76,46.99,5.82
Eureka,90,US,1573960817,100,40.8,-124.16,52.0,4.7
Calabozo,65,VE,1573960818,82,8.92,-67.43,75.42,3.06
Nishihara,40,JP,1573960819,37,35.74,139.53,68.0,9.17
Hami,0,CN,1573960820,18,42.84,93.51,21.2,1.05
Narrabri,0,AU,1573960822,9,-30.33,149.78,86.0,21.92
Alyangula,40,AU,1573960822,59,-13.85,136.42,89.6,11.41
Gumdag,14,TM,1573960823,48,39.2,54.59,37.6,14.07
Dauriya,100,RU,1573960824,62,49.93,116.85,4.69,10.8
Xai-Xai,61,MZ,1573960825,84,-25.04,33.64,67.5,3.36
Viedma,15,AR,1573960827,37,-40.81,-62.99,64.33,16.13
Dudinka,0,RU,1573960828,63,69.41,86.18,-7.6,11.18
Koulamoutou,100,GA,1573960829,99,-1.13,12.47,69.73,2.15
Beckley,1,US,1573960552,59,37.78,-81.19,35.6,11.41
Bonavista,0,CA,1573960831,68,48.65,-53.11,28.99,28.01
NEDJO,17,ET,1573960832,82,9.5,35.5,57.51,0.67
Benghazi,67,LY,1573960833,57,32.12,20.07,66.76,22.55
Dingle,97,PH,1573960834,78,11.0,122.67,83.88,8.39
Margate,68,AU,1573960835,29,-43.03,147.26,60.8,12.75
Mildura,53,AU,1573960836,28,-34.18,142.16,68.0,6.93
Cabedelo,40,BR,1573960837,83,-6.97,-34.84,77.0,3.36
Hovd,75,NO,1573960838,69,63.83,10.7,39.2,11.41
Gamba,0,CN,1573960839,48,28.28,88.52,29.53,3.69
Colares,75,PT,1573960840,100,38.8,-9.45,59.0,5.82
Ulety,100,RU,1573960841,58,51.36,112.48,3.33,11.92
Flinders,90,AU,1573960842,59,-34.58,150.85,70.0,13.87
Pevek,78,RU,1573960843,92,69.7,170.27,2.37,5.48
Zhigansk,100,RU,1573960844,98,66.77,123.37,-6.54,6.62
Krasnaya polyana,51,KZ,1573960845,47,49.24,73.02,15.8,15.66
Victor Harbor,47,AU,1573960846,48,-35.55,138.62,68.0,16.11
Tezu,0,IN,1573960847,55,27.93,96.16,73.51,2.84
Walvis Bay,75,NA,1573960848,100,-22.95,14.51,61.0,2.24
Alamos,0,AR,1573960849,25,-36.9,-62.36,63.23,7.34
Oum Hadjer,21,TD,1573960850,25,13.3,19.7,77.67,11.79
Dashitou,100,CN,1573960852,38,43.3,128.5,28.96,0.47
Srednekolymsk,100,RU,1573960853,96,67.46,153.71,1.94,6.78
Najran,33,SA,1573960854,45,17.54,44.22,62.6,0.98
Vila Velha,40,BR,1573960855,74,-3.71,-38.6,80.6,5.82
Bastrop,1,US,1573960856,75,32.78,-91.91,41.0,3.29
Coutances,100,FR,1573960857,87,49.05,-1.45,46.0,5.82
Olinda,75,AU,1573960858,51,-37.84,145.39,66.0,14.99
Ankpa,75,NG,1573960859,94,7.37,7.63,70.25,4.5
Chiredzi,37,ZW,1573960860,69,-21.05,31.67,69.67,6.11
Petropavlovka,99,RU,1573960862,69,50.61,105.32,-4.14,6.6
Ostrovnoy,83,RU,1573960863,93,68.05,39.51,19.98,5.64
Del Rio,1,US,1573960864,50,29.36,-100.9,57.2,8.05
Cortez,1,US,1573960865,40,37.35,-108.58,43.0,8.05
Maghar,0,IN,1573960866,47,26.75,83.13,72.91,6.67
Mangrol,0,IN,1573960867,50,25.33,76.51,71.31,2.89
Launceston,40,AU,1573960642,39,-41.43,147.14,64.0,8.05
Vagur,0,FO,1573960869,65,61.47,-6.81,44.19,15.5
Lebu,20,ET,1573960870,66,8.96,38.73,53.6,8.05
Noyabrsk,95,RU,1573960871,96,63.2,75.45,0.79,11.7
Diego de Almagro,100,CL,1573960873,67,-26.39,-70.05,55.8,0.45
Vestmannaeyjar,48,IS,1573960874,60,63.44,-20.27,40.33,19.15
Clyde River,40,CA,1573960875,71,70.47,-68.59,5.0,6.93
Ouricuri,75,BR,1573960876,33,-7.88,-40.08,83.01,4.27
Adrar,0,DZ,1573960877,37,27.87,-0.29,50.0,9.17
Ibaiti,4,BR,1573960878,99,-23.85,-50.19,62.01,3.0
Cubara,100,CO,1573960879,91,7.0,-72.11,70.57,2.71
Sioux Lookout,90,CA,1573960880,60,50.1,-91.92,39.2,10.29
Cermik,0,TR,1573960881,74,38.14,39.45,28.4,5.82
Nome,1,US,1573960882,87,30.04,-94.42,45.0,3.33
Sahuaripa,0,MX,1573960883,61,29.05,-109.23,59.56,2.98
Boden,100,SE,1573960884,100,65.83,21.69,21.2,2.24
Biak,87,ID,1573960886,73,-0.91,122.88,80.64,7.52
Torres,0,BR,1573960887,62,-29.34,-49.73,68.11,2.26
Riyadh,75,SA,1573960888,54,24.63,46.72,59.0,4.7
Sijunjung,32,ID,1573960889,62,-0.69,100.95,83.86,2.62
Ritchie,0,ZA,1573960890,22,-29.03,24.6,68.0,10.29
Ouesso,100,CG,1573960891,97,1.61,16.05,71.26,4.34
Sterling,90,US,1573960755,27,39.0,-77.4,41.0,6.93
Yagodnoye,100,RU,1573960893,96,62.52,149.63,-4.29,2.86
Teknaf,0,BD,1573960894,57,20.86,92.31,78.53,1.07
Port Macquarie,75,AU,1573960870,68,-31.43,152.91,82.0,21.92
Tosya,0,TR,1573960897,66,41.02,34.04,42.89,0.31
Biltine,0,TD,1573960898,23,14.53,20.93,76.48,15.3
Kavaratti,20,IN,1573960899,70,10.57,72.64,86.0,3.74
Menongue,98,AO,1573960900,76,-14.66,17.68,67.05,6.31
Iqaluit,90,CA,1573960901,72,63.75,-68.52,14.0,11.41
Pinkafeld,75,AT,1573960902,100,47.37,16.12,50.0,3.36
Loding,75,DE,1573960903,100,48.05,12.68,42.01,4.7
Tilichiki,100,RU,1573960904,76,60.47,166.1,7.66,10.69
Pitimbu,40,BR,1573960905,83,-7.47,-34.81,77.0,3.36
Half Moon Bay,75,US,1573960906,100,37.46,-122.43,62.01,4.7
Vizinga,92,RU,1573960907,97,61.08,50.08,22.14,3.33
Puri,100,ID,1573960908,31,-7.54,112.45,94.57,8.52
La Massana,60,FR,1573960909,87,42.54,1.52,42.01,1.99
Tibiri,0,NE,1573960910,23,13.57,7.05,77.09,5.03
Tolyatti,67,RU,1573960912,80,53.52,49.41,30.2,11.18
Te Anau,99,NZ,1573960913,77,-45.41,167.72,46.2,10.85
Grindavik,75,IS,1573960914,86,63.84,-22.43,33.8,11.41
Plana,40,BA,1573960915,82,42.97,18.4,64.4,3.36
Taunggyi,26,MM,1573960916,59,20.78,97.03,73.67,1.43
Merauke,58,ID,1573960918,64,-8.49,140.4,86.88,10.11
Harper,1,US,1573960919,65,30.3,-99.24,52.0,10.85
Baykit,71,RU,1573960921,97,61.68,96.39,-25.17,2.71
Meget,0,RU,1573960923,83,52.42,104.06,-9.4,6.71
Tautira,75,PF,1573960924,70,-17.73,-149.15,84.2,9.17
Ketchikan,90,US,1573960925,93,55.34,-131.65,53.6,19.46
Rokytne,96,UA,1573960926,95,51.27,27.23,45.79,6.11
Puerto Ayacucho,90,CO,1573960927,74,5.66,-67.63,82.4,2.3
Ovalle,55,CL,1573960928,87,-30.6,-71.2,52.9,0.51
Antsohihy,95,MG,1573960929,84,-14.88,47.99,79.09,2.57
Marzuq,0,YE,1573960930,70,14.4,46.47,61.83,5.48
Winnemucca,1,US,1573960931,55,40.97,-117.74,41.0,0.69
Krapivinskiy,90,RU,1573960933,77,55.0,86.81,5.0,15.66
Samarai,100,PG,1573960933,91,-10.62,150.67,78.21,6.91
Karratha,0,AU,1573960934,47,-20.74,116.85,84.2,8.57
Sibolga,95,ID,1573960935,63,1.74,98.78,84.09,1.23
Burnie,100,AU,1573960835,44,-41.05,145.91,63.0,11.99
Vangaindrano,65,MG,1573960938,90,-23.35,47.6,71.33,4.5
College,75,US,1573960939,77,64.86,-147.8,7.0,4.7
Altamira,100,BR,1573960940,95,-3.2,-52.21,75.06,2.15
Dunedin,100,NZ,1573960786,79,-45.87,170.5,53.53,9.91
Ternate,20,PH,1573960942,79,14.29,120.72,89.01,9.17
Vao,100,EE,1573960943,96,59.1,26.19,43.39,9.91
Itaituba,100,BR,1573960944,97,-4.26,-55.99,74.35,1.43
Henties Bay,95,NA,1573960945,94,-22.12,14.28,61.0,1.01
Pacific Grove,90,US,1573960946,93,36.62,-121.92,61.0,9.08
Alofi,55,NU,1573960947,65,-19.06,-169.92,80.6,10.29
Marawi,17,PH,1573960948,67,8.0,124.29,78.93,4.18
Hyeres,100,FR,1573960949,70,43.12,6.14,51.01,3.36
Atasu,15,KZ,1573960950,34,48.68,71.64,18.36,6.58
Mecca,0,SA,1573960810,69,21.43,39.83,74.82,2.8
San Patricio,0,PY,1573960952,71,-26.98,-56.83,63.1,6.15
San Cristobal,100,HN,1573960953,98,14.68,-86.92,65.75,4.68
Guarapari,33,BR,1573960954,94,-20.67,-40.5,70.0,3.36
Karakol,100,KG,1573960955,36,42.49,78.39,28.31,3.58
Pionerskiy,0,RU,1573960956,92,61.2,62.86,18.72,5.97
Ashland,1,US,1573960957,86,38.48,-82.64,35.01,4.29
Labuhan,3,ID,1573960958,43,-2.54,115.51,94.66,2.68
Sur,60,OM,1573960959,46,22.57,59.53,72.34,5.3
Shimoda,40,JP,1573960960,52,34.7,138.93,64.4,8.05
Ugoofaaru,0,MV,1573960961,76,5.67,73.0,82.11,12.03
Huilong,100,CN,1573960962,73,31.15,106.5,58.89,1.95
Bowen,33,AU,1573960963,32,-20.01,148.25,95.0,10.29
Vrangel,28,RU,1573960964,49,42.73,133.08,31.95,13.73
